ID,code,text
ec0f3525-c031-40a9-8859-1c9bd7ae9ed9,LBP,Lebanese Pound
7bcb896c-c2eb-481c-a940-c2419e161784,LKR,Sri Lanka Rupee
781fe2dc-0e66-4d2a-95af-89158f6d5248,LRD,Liberian Dollar
cff0a653-13b2-4b09-86f6-d7a3988ed9be,LSL,Lesotho Loti
621b30ed-a77c-41dc-80de-48cf16b0d54f,LYD,Libyan Dinar
19111938-868c-4d1d-bfb1-6164178bb873,MAD,Moroccan Dirham
3735107f-24ff-4fdf-837b-f65282ab108c,MDL,Moldavian Leu
63113a78-0863-4185-869b-b2aa825bc75e,MGA,Madagasc.Ariary
da8e4621-db83-424f-9275-e0f7c8681c46,MKD,Maced. Denar
6664c5ab-d8ee-4587-95f6-ec60008a0463,MMK,Myanmar Kyat
98ad27b8-6af5-4a08-b631-4fefd4b09ff9,MNT,Mong. Tugrik
756c0ef1-fcd4-466a-a8cb-40cf22e3b30a,MOP,Macao Pataca
3f516579-e4f4-4d1c-bdf8-b5eaa2a585c0,MRU,Ouguiya
5f19ae88-e872-4ada-a7ef-3cdab19ecf23,MUR,Mauritian Rupee
f1dc5dad-5a9c-4dd7-96d3-12959043e1f9,MVR,Maldive Rufiyaa
18163d55-5957-40f5-8729-8bd5bde18c2e,MWK,Malawi Kwacha
7fbbf237-8d8d-4d25-9078-f3c128ff34fd,MXN,Mexican Pesos
30f87674-ca9b-4aa2-8da0-348e02044258,MXV,Mexic Uni. Inv.
49179522-3878-449e-82fb-c14e32de8a3a,MYR,Mal. Ringgit
dee08e26-f2f5-4547-8bda-7a028c23e76e,MZN,Mozamb. Metical
04333662-8049-4eb0-9474-9f1e20090c8d,NAD,Namibian Dollar
6939d419-3805-4ead-86ba-2884d9356858,NGN,Nigerian Naira
42658315-23db-4c11-9dd0-3bccb4f85aef,NIO,Nicar. Cor. Oro
714bb290-7a2b-48ae-8a67-144ee04d465a,NOK,Norwegian Krone
9dc6b0b4-a307-4b1e-b044-11274b08c522,NPR,Nepalese Rupee
71994893-eba5-4c06-9cd5-72457b438241,NZD,N. Zeal. Dollar
d6ee7900-c5c3-4d31-b181-c8de7bb157f5,OMR,Omani Rial
b80810c7-9604-4cec-80f4-30d79b5d6e6d,PAB,Panam. Balboa
7017c083-2129-4e0d-9162-355ee0d749b3,PEN,Peruvian Sol
ecefe6e4-ab04-4d32-8537-1f2c274d0224,PGK,Papua NG Kina
1210e17a-7eed-4c59-afbf-9db2dc06777b,PHP,Philippine Peso
2b818194-6961-423f-9c22-a0dfd6068ae6,PKR,Pakistani Rupee
